entity,entity_group,headline,outlet,cluster_name,dominant_frame,stance_bucket,mention_weight,evidence_excerpt,link
The Irish Independent,Media outlet,Letters: Putting US soldiers on the ground in Iran will only turn public against Donald Trump,The Irish Independent,Ukraine war and moral neutrality,Triple Lock / UN Mandate,Preserve / strengthen neutrality,1.033,"Letters: Putting US soldiers on the ground in Iran will only turn public against Donald Trump | Reports that the US is preparing for a ground invasion in Iran is hopefully nothing more than intimidatory optics in the game of negotiations. | A letter discusses neutrality and calls for a referendum amid defence and EU militarisation debates, tying the term neutrality to broader policy discussions. | neutrality, defence, politics, referendum, UN Security Council | Letters: Putting US soldiers on the ground in Iran will only turn public against Donald Trump Reports that the US is preparing for a ground invasion in Iran is hopefully nothing more than intimidatory optics in the game of negotiation",https://independent.ie/opinion/letters/letters-putting-us-soldiers-on-the-ground-in-iran-will-only-turn-public-against-donald-trump/a486049948.html
The Irish Independent,Media outlet,Letters: Targeted relief on fuel tax is possible and could help prevent economic threats,The Irish Independent,Defence capability and security gaps,Budget / Fiscal / Public Finances,Mixed / procedural / unclear,1.033,"Letters: Targeted relief on fuel tax is possible and could help prevent economic threats | I fully concur with Michael Gannon’s assessment that the Irish public have faced pronounced price increases from the petroleum sector over the past week (‘Fuel retailers are quicker to raise their prices than they are to pass on savings’, Letters, March 9). | A letter urging Ireland to reaffirm its tradition of positive neutrality in international affairs, aligning with the term neutrality. | neutrality, international law, Ireland, defence, politics | Letters: Targeted relief on fuel tax is possible and could help prevent economic threats I fully concur with Michael Gannon’s assessment that the Irish p",https://independent.ie/opinion/letters/letters-targeted-relief-on-fuel-tax-is-possible-and-could-help-prevent-economic-threats/a1363336737.html
The Irish Independent,Media outlet,Letters: Ireland should offer a safe space for warring parties to sit down and talk peace,The Irish Independent,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Preserve / strengthen neutrality,1.033,"Letters: Ireland should offer a safe space for warring parties to sit down and talk peace | There are currently at least 20 major conflicts taking place in the world, resulting in the loss of hundreds of thousands of human lives, without even considering the widespread destruction of property. | A letter arguing for Ireland to uphold neutrality and to host peace talks as a neutral venue, tying the concept of neutrality to Ireland's foreign policy and constitutional principles. | neutrality, peace talks, Ireland, foreign policy, Bunreacht na hÉireann | Letters: Ireland should offer a safe space for warring parties to sit down and talk peace There are currently at least 20 major conflicts taki",https://independent.ie/opinion/letters/letters-ireland-should-offer-a-safe-space-for-warring-parties-to-sit-down-and-talk-peace/a1569192180.html
The Irish Independent,Media outlet,"We really need adequate defence, neutrality is just ridiculous in these times",The Irish Independent,Ukraine war and moral neutrality,Other Neutrality Debate,Mixed / procedural / unclear,0.997,"We really need adequate defence, neutrality is just ridiculous in these times | | Larry Dunne argues that neutrality is nonsense and Ireland should maintain adequate defence in the face of security challenges. | neutrality, defence, defence forces, military policy, public safety | Clearly, the neutrality of this country is important to many. Its praises are sung and our Defence Forces are actually seen as primarily peacekeepers abroad rather than being a bastion against external attack. Even essential military aid to states under invasion has to be non-lethal and non-combative. And of course we have the Triple Lock mechanism to comply with before we can send troops under the proud cover of t",
The Irish Independent,Media outlet,Government now needs to rediscover Irish tradition of positive neutrality,The Irish Independent,Ukraine war and moral neutrality,Other Neutrality Debate,Mixed / procedural / unclear,0.997,"Government now needs to rediscover Irish tradition of positive neutrality | | A Letter urging Ireland to rediscover its tradition of positive neutrality and respect for international law amid Middle East tensions. | neutrality, international law, Ireland, military neutrality, foreign policy | Thank God and the Irish electorate for President Catherine Connolly. She correctly stated that what we are witnessing in the Middle East and beyond are ""deliberate assaults on international law"". She added: ""We must name them as such without euphemism and without equivocation."" It's a pity our political leaders haven't spoken out. The President clearly represents the views of the Irish people of all pol",
The Irish Examiner,Media outlet,Letters to the Editor: Neutralising Ireland’s neutrality,The Irish Examiner,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Preserve / strengthen neutrality,1.074,"Letters to the Editor: Neutralising Ireland’s neutrality | Letters to the Editor: Neutralising Ireland’s neutrality: A comprehensive series of articles on this topic | A Letters to the Editor arguing for maintaining Ireland’s neutrality and opposing proposals to replace UN approval with EU/regional consent, highlighting the relevance of 'neutrality' to policy. | neutrality, defence, NATO, UN, Shannon | Revolutionary leader Daniel O’Connell (1775-1847) said that, ‘Nothing is politically correct that is morally wrong.’ It is therefore difficult to rationalise Taoiseach Micheál Martin’s decision to remove the necessity of a United Nations mandate for the deployment of Irish troops abroad. The m",https://irishexaminer.com/opinion/yourview/arid-41838741.html
The Irish Examiner,Media outlet,Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy,The Irish Examiner,Ukraine war and moral neutrality,Triple Lock / UN Mandate,Preserve / strengthen neutrality,1.032,"Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy | We need a strong EU, capable of acting swiftly, decisively and in the interests of the vast majority of its member states, writes Seán Kelly, MEP for Ireland South | Seán Kelly argues for an EU reform that would reduce veto power while preserving Ireland's neutrality, framing neutrality as central to Ireland's defence and foreign policy. | neutrality, Ireland, EU, veto, defence | Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy Viktor Orbán’s spectacular defeat in Sunday’s Hungarian election has been music to the ears of those of us who have been frustrated by ",https://irishexaminer.com/opinion/commentanalysis/arid-41831303.html
The Irish Examiner,Media outlet,Ireland is addicted to contracting away all kinds of State capacity,The Irish Examiner,Ukraine war and moral neutrality,Other Neutrality Debate,Mixed / procedural / unclear,1.032,"Ireland is addicted to contracting away all kinds of State capacity | By treating governance as contract administration, we are letting our sovereignty erode gradually through every decision we outsource, writes Paul Davis | An opinion column argues that Ireland's outsourcing of core state functions undermines neutrality and sovereignty, urging retention of domestic capacity and stronger governance. | neutrality, sovereignty, defence outsourcing, governance, accountability | Ireland is addicted to contracting away all kinds of State capacity Tony Geraghty’s warning earlier this year in the Irish Examiner about the strategic costs of outsourcing Ireland’s defence deserves serious attention. A",https://irishexaminer.com/opinion/commentanalysis/arid-41830613.html
The Irish Examiner,Media outlet,Letters to the Editor: Waste disposal should never have been privatised,The Irish Examiner,Triple Lock and UN mandate debate,Other Neutrality Debate,Preserve / strengthen neutrality,1.032,"Letters to the Editor: Waste disposal should never have been privatised | A reader says illegal dumping crisis would never have arisen but for the decision many years ago to abdicate a statutory function — the collection and disposal of domestic and commercial waste | The letter defends Ireland's neutrality and argues against changes to the triple lock and deployment rules, tying the debate to broader defence and political policy discussions. | neutrality, Ireland, defence, NATO, Triple Lock | Letters to the Editor: Waste disposal should never have been privatised I read with interest the column dedicated to the escalating scourge of illegal dumping experienced by Cork County Council through",https://irishexaminer.com/opinion/yourview/arid-41828534.html
The Irish Examiner,Media outlet,Letters to the Editor: MEP says Ireland must stop outsourcing sovereign decisions,The Irish Examiner,Ukraine war and moral neutrality,Other Neutrality Debate,Mixed / procedural / unclear,1.032,"Letters to the Editor: MEP says Ireland must stop outsourcing sovereign decisions | Barry Andrews MEP writes: 'Taking back control of overseas deployment is... an assertion of our neutrality and our sovereignty' | A letter arguing in favor of neutrality as a key aspect of Ireland's defence and sovereignty, linking the term neutrality to policy decisions and international diplomacy. | neutrality, sovereignty, defence, Ireland, diplomacy | Letters to the Editor: MEP says Ireland must stop outsourcing sovereign decisions More than 400 academics argued last week against reform of the Irish triple lock policy, but it seems their only argument against it was that we may end up in conflict with a n",https://irishexaminer.com/opinion/yourview/arid-41826299.html
Dáil,Actor / organisation,Letters to the Editor: Neutralising Ireland’s neutrality,The Irish Examiner,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Preserve / strengthen neutrality,1.074," wrong.’ It is therefore difficult to rationalise Taoiseach Micheál Martin’s decision to remove the necessity of a United Nations mandate for the deployment of Irish troops abroad. The mandate is the core of the triple lock, which requires UN, government, and Dáil approval before troops can be sent overseas. The Irish people voted to reject both the Nice (in 2001) and Lisbon treaties (in the first referendum in 2008) because of fears of a militarised EU, but were reassured after Fianna Fáil introduced the lock. Now, there is the possibility that Irish troops could be deployed at the behest of the EU, and the EU is inextricably linked with Nato. To remove the lock would negate Ireland’s credibility as a peacemaker. Ireland needs to work for reform of the UN and be a voice for peace. US president JF Kennedy stated in his speech to the Dáil in 1963 that: “It matters not how small a nation is that seeks world peace.” It does matter that the Taoiseach and",https://irishexaminer.com/opinion/yourview/arid-41838741.html
Dáil,Actor / organisation,Sinéad O'Sullivan: Calling in the Defence Forces against fuel protesters is a huge strategic error,The Irish Times,Ukraine war and moral neutrality,Defence Capability / Underinvestment,Preserve / strengthen neutrality,1.033,"Sinéad O'Sullivan: Calling in the Defence Forces against fuel protesters is a huge strategic error | By sending in the army to move tractors, the Government has proved every sceptic of increased defence spending right | The article discusses neutrality in Ireland's defence policy amid protests and argues for stronger defence capability, illustrating how neutrality is being reconsidered in this context. | defence, neutrality, Ireland, military, protests | The French have been blocking streets to force the hand of the state since 1789. In 2018, they blocked roundabouts in yellow vests and the government reversed a fuel tax within weeks. In France, barricades are not a threat to the republic – ",https://irishtimes.com/opinion/2026/04/09/sinead-osullivan-calling-in-the-defence-forces-against-fuel-protesters-is-a-huge-strategic-error
Dáil,Actor / organisation,"Letters to the Editor, March 30th: On redress schemes in health service, consultants’ fees and let’s hear it for the buses",The Irish Times,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Reform / redefine neutrality,1.033,"ffective regime for managerial accountability, that is accountability with consequences arising. At the MacGill Summer School in 2018, the late Vicky Phelan said: “I don’t want apologies. I want accountability”. She never got it. Handwringing apologies in the Dáil and redress schemes represent an entirely inadequate response by the State. – Yours, etc, DR EDDIE MOLLOY, Former chair of Mental Health Reform, Dublin 6. Low-hanging fruit Sir, – The Irish Times editorial (March 26th) is probably correct, we could get by with fewer TDs and fewer office holders than the rising population would indicate. However, it’s hardly fair to compare the Oireachtas to the British Houses of Parliament without including the 850 “working” Lords from which some ministers are drawn, as well as 650 MPs. In addition, they have an extended Royal family which carries out many of the functions ministers do here, regional parliaments and assemblies, directly elected mayor",https://irishtimes.com/opinion/letters/2026/03/30/letters-to-the-editor-march-30th-on-redress-schemes-in-health-service-consultants-fees-and-lets-hear-it-for-the-buses
Dáil,Actor / organisation,Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy,The Irish Examiner,Ukraine war and moral neutrality,Triple Lock / UN Mandate,Preserve / strengthen neutrality,1.032,"Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy | We need a strong EU, capable of acting swiftly, decisively and in the interests of the vast majority of its member states, writes Seán Kelly, MEP for Ireland South | Seán Kelly argues for an EU reform that would reduce veto power while preserving Ireland's neutrality, framing neutrality as central to Ireland's defence and foreign policy. | neutrality, Ireland, EU, veto, defence | Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy Viktor Orbán’s spectacular defeat in Sunday’s Hungarian election has been music to the ears of those of us who have been frustrated by ",https://irishexaminer.com/opinion/commentanalysis/arid-41831303.html
Dáil,Actor / organisation,Our leaders must show courage in commitment to peace by keeping the triple lock,The Irish Examiner,Triple Lock and UN mandate debate,Peacekeeping / Identity / Tradition,Lean preserve neutrality,1.032,"eas troop deployment can only take place as part of UN peacekeeping missions and in line with international law. Read More Since we wrote about this last year, the 2025 Defence (Amendment) Bill has passed through pre-legislative scrutiny and is due before the Dáil imminently. At the same time, we have witnessed a dramatic deterioration in the global geopolitical situation, with expanding conflict and the continued erosion of international law and multilateral institutions. In the past three months alone, we have seen the United States carry out illegal attacks on Venezuela and Iran, threaten to invade Greenland, and escalate a devastating and illegal embargo on Cuba, whilst Israel has expanded its assault on southern Lebanon where it has attacked UN peacekeepers. During this same period we have also seen the president of the United States establish the so-called ‘Board of Peace’ to oversee the reconstruction of Gaza outside the structures of multilat",https://irishexaminer.com/opinion/commentanalysis/arid-41823281.html
Micheál Martin,Actor / organisation,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,The Irish Times,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Move away / stronger alignment,1.074,"tary-industrial complex...” – to notice the rubble and mass graves that were once Mariupol, a vital port city. Headlines here warned that we were heading towards a war economy and that fuel and food prices were going through the roof in the words of Taoiseach Micheál Martin. These have. We’ve just forgotten why. [ Fuel protests were a display of mine-is-bigger-than-yours machismo ] We were shielded from soaring energy costs by Government cash injections while neutrality ideologues talked a heady game about soft power and pounced on bits of Government humanitarian aid that might conceivably assist some military objective. Our default position, then and now, is that instead of donating military aid, Ireland would welcome Ukrainian refugees with generous supports and no cap on numbers. It was always going to be a logistical challenge in a pre-existing housing crisis, but that was presumably our moral deal. In the end, over 112,000 received temporary protection he",https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Micheál Martin,Actor / organisation,Letters to the Editor: Neutralising Ireland’s neutrality,The Irish Examiner,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Preserve / strengthen neutrality,1.074,"ighting the relevance of 'neutrality' to policy. | neutrality, defence, NATO, UN, Shannon | Revolutionary leader Daniel O’Connell (1775-1847) said that, ‘Nothing is politically correct that is morally wrong.’ It is therefore difficult to rationalise Taoiseach Micheál Martin’s decision to remove the necessity of a United Nations mandate for the deployment of Irish troops abroad. The mandate is the core of the triple lock, which requires UN, government, and Dáil approval before troops can be sent overseas. The Irish people voted to reject both the Nice (in 2001) and Lisbon treaties (in the first referendum in 2008) because of fears of a militarised EU, but were reassured after Fianna Fáil introduced the lock. Now, there is the possibility that Irish troops could be deployed at the behest of the EU, and the EU is inextricably linked with Nato. To remove the lock would negate Ireland’s credibility as a peacemaker. Ireland needs to work for reform of the UN and be ",https://irishexaminer.com/opinion/yourview/arid-41838741.html
Micheál Martin,Actor / organisation,Classic Hits 4FM - Neutrality,Classic Hits 4FM,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mixed / procedural / unclear,1.045,"Classic Hits 4FM - Neutrality | mary lou should have been down in coole with the sinn fein banner mary lou wasn't down on the streets in o'connell street as the leader of the so-called main opposition supporting the farmers and the truckers up there this is why sinn fein have lost the room completely and unless they get their bloody act together and it's eulogising just because they're moaning off from a prepared scripting to all her and strips off micheal martin and harris i wouldn't give many points to that i faced her down in cork here in bellythi hen, where she had this travelling road show as a gaz-iranian neutrality. | The segment centers on neutrality in Irish politics, highlighting h",
Micheál Martin,Actor / organisation,Irish Defence Forces must continue to hold the blue line in Lebanon,The Irish Times,Ukraine war and moral neutrality,Peacekeeping / Identity / Tradition,Preserve / strengthen neutrality,1.033,"ith two Indonesian peacekeepers killed this week as Israel continues its military assault on Lebanon, the situation facing Irish peacekeepers serving with the United Nations peacekeeping mission, Unifil, is increasingly perilous. There has been what Taoiseach Micheál Martin described as a “shocking escalation of violence that has injured a number of peacekeepers in recent days”. With little peace left to keep, is it time for the Irish Government to withdraw our Defence Forces? Responding to Martin on X, former defence minister Alan Shatter called this week for the withdrawal of Irish Unifil troops, along with peacekeepers from other states, saying: “Nothing beneficial can be achieved by their remaining in harm’s way.” A withdrawal wouldn’t be unprecedented: Irish forces have previously been withdrawn from UN missions in the Golan Heights (Syria), Mali, East Timor, Congo, Somalia and Liberia when mandates concluded or changed. READ MORE Over the last month, Isr",https://irishtimes.com/opinion/2026/04/02/irish-defence-forces-must-continue-to-hold-the-blue-line-in-lebanon
Micheál Martin,Actor / organisation,Alanna O'Malley: US multinationals will not flee Ireland just because we stand up to Donald Trump,The Irish Times,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Preserve / strengthen neutrality,1.033,"g states such as Ireland stand idly by. READ MORE Woman of Substance on Channel 4: Emmett Scanlan steals show in bodice-ripping romp with strong Irish cast The Irish Government has been busy urging parties to the conflict to exercise restraint, with Taoiseach Micheál Martin recognising the “potential that exists for escalation and wider conflict in the region”, but also adding that the Middle East has “not been safe for quite a long time, and Iran must take a significant degree of responsibility for that”. Responding to the situation, he pushed for a diplomatic resolution, pointing to the principles of the United Nations Charter and international law that should apply in this situation. On Tuesday, he called for a “de-escalation” of the conflict and a “return to the negotiating table”. Minister for Foreign Affairs Helen McEntee framed Ireland’s position in equally carefully chosen diplomatic language: expressing “concern” over the escalating situation; “dismay",https://irishtimes.com/opinion/2026/03/04/alanna-omalley-united-states-iran-ireland-international-law-st-patricks-day
Sinn Féin,Actor / organisation,RTE - Radio 1 - Neutrality,RTE - Radio 1,Ukraine war and moral neutrality,Other Neutrality Debate,Mixed / procedural / unclear,1.077,"RTE - Radio 1 - Neutrality | i think our neutrality is so so important and i think that people in this country take it very | A discussion emphasises neutrality and the need to strengthen defence and EU-wide regulation to uphold it. | neutrality, defence, EU, regulation, politics | i'd love your opinion on sinn fein. i think looking at the data protection commission as well and has a huge role to play in regulating many of these tech companies that are operating across the european union but that are headquartered here by dint of their location, their headquarters or the european operations being headquartered here in ireland. and there's a huge financial burden on the state in terms of acti",
Sinn Féin,Actor / organisation,Classic Hits 4FM - Neutrality,Classic Hits 4FM,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mixed / procedural / unclear,1.045,"Classic Hits 4FM - Neutrality | mary lou should have been down in coole with the sinn fein banner mary lou wasn't down on the streets in o'connell street as the leader of the so-called main opposition supporting the farmers and the truckers up there this is why sinn fein have lost the room completely and unless they get their bloody act together and it's eulogising just because they're moaning off from a prepared scripting to all her and strips off micheal martin and harris i wouldn't give many points to that i faced her down in cork here in bellythi hen, where she had this travelling road show as a gaz-iranian neutrality. | The segment centers on neutrality in Irish politics, highlighting h",
Sinn Féin,Actor / organisation,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",Hot Press,Ukraine war and moral neutrality,Shannon / US Military / Anti-war,Preserve / strengthen neutrality,1.033,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress | Sally Rooney and Omar Barghouti were joined by a number of other speakers, addressing sports boycotts, academic boycotts and the Occupied Territories Bill. | A Dublin panel on Palestine action discusses neutrality in Ireland's stance, tying neutrality to politics and defence while noting government critique and activism. | Palestine, neutrality, Ireland, BDS, militarization | - Opinion - 10 Apr 26 Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine bu",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398
